StartNode, EndNode, Connectivity
1,5,0.55877
1,10,0.51723
1,22,0.50857
1,27,0.50629
1,28,0.50776
1,29,0.5552
1,39,0.54087
1,40,0.57915
1,53,0.5472
1,57,0.55424
1,90,0.58833
2,6,0.65567
2,8,0.62033
2,10,0.54939
2,12,0.53285
2,21,0.50452
2,24,0.51714
2,27,0.54126
2,42,0.57762
2,54,0.63605
2,56,0.50432
2,61,0.74367
2,95,0.51825
3,4,0.74784
3,7,0.50882
3,11,0.52299
3,13,0.53014
3,14,0.52867
3,18,0.58149
3,33,0.54658
3,34,0.53052
3,35,0.53396
3,37,0.53511
3,43,0.5014
3,50,0.58705
3,51,0.50747
3,76,0.56563
3,78,0.78275
3,79,0.67441
3,80,0.50468
3,81,0.58448
3,83,0.58703
3,84,0.55799
3,85,0.51176
3,86,0.62408
3,87,0.56209
3,92,0.6495
3,96,0.51148
3,97,0.51468
4,11,0.58855
4,13,0.52116
4,14,0.5149
4,18,0.58812
4,19,0.50716
4,25,0.5249
4,26,0.52802
4,33,0.53218
4,34,0.52782
4,35,0.54976
4,37,0.54885
4,38,0.50246
4,39,0.5048
4,43,0.56012
4,45,0.50758
4,46,0.50178
4,50,0.55673
4,51,0.50894
4,67,0.50837
4,76,0.64207
4,77,0.52906
4,78,0.69816
4,79,0.75703
4,80,0.5622
4,81,0.62746
4,83,0.58837
4,84,0.52385
4,85,0.55265
4,86,0.64623
4,87,0.61677
4,92,0.64249
4,96,0.52992
4,97,0.54088
5,7,0.62255
5,29,0.51068
5,40,0.50016
5,41,0.50783
5,53,0.53896
6,8,0.65252
6,21,0.56332
6,41,0.51161
6,42,0.58749
6,44,0.5599
6,49,0.52801
6,54,0.72166
6,61,0.54478
6,95,0.54881
6,101,0.53988
6,105,0.5689
7,35,0.58548
7,36,0.52859
7,37,0.55706
7,38,0.51838
7,39,0.56562
7,40,0.53231
7,43,0.50663
7,81,0.53228
7,83,0.52604
7,86,0.50747
8,44,0.51384
8,54,0.53201
8,61,0.51878
9,11,0.51627
9,13,0.50075
9,20,0.57423
9,25,0.63483
9,33,0.50984
9,34,0.50396
9,60,0.6006
9,77,0.54326
9,87,0.50313
10,12,0.5324
10,22,0.52954
10,24,0.52969
10,27,0.5047
10,29,0.51307
10,61,0.55035
10,90,0.51263
11,18,0.6645
11,22,0.52969
11,25,0.54954
11,26,0.58986
11,33,0.57661
11,35,0.58942
11,37,0.60295
11,38,0.52392
11,43,0.65812
11,45,0.56623
11,46,0.54554
11,47,0.53905
11,48,0.59442
11,58,0.58086
11,59,0.59505
11,66,0.5557
11,67,0.60681
11,74,0.53523
11,75,0.59157
11,76,0.60919
11,77,0.51377
11,79,0.52334
11,83,0.6359
11,87,0.58163
11,88,0.55595
11,89,0.6051
11,91,0.5214
12,20,0.61081
12,21,0.51298
12,22,0.71475
12,23,0.50686
12,24,0.67369
12,27,0.61377
12,28,0.60479
12,42,0.56967
12,57,0.51512
12,61,0.58049
12,77,0.51
12,90,0.51047
13,14,0.66684
13,17,0.50904
13,33,0.69864
13,34,0.72235
13,46,0.5194
13,51,0.5078
13,79,0.5695
13,87,0.52075
13,97,0.50276
14,17,0.50115
14,33,0.541
14,34,0.71604
14,50,0.54093
14,51,0.64153
14,78,0.52082
14,79,0.63593
14,85,0.54823
14,97,0.55083
15,16,0.64495
15,21,0.57947
15,23,0.57782
15,24,0.50878
15,27,0.5004
15,29,0.52426
15,30,0.51987
15,41,0.6244
15,42,0.5279
15,49,0.6398
15,56,0.50369
15,60,0.52218
15,62,0.59425
15,63,0.57647
16,21,0.5283
16,23,0.5029
16,24,0.52704
16,27,0.5271
16,28,0.50861
16,29,0.52441
16,41,0.54373
16,42,0.52914
16,49,0.52903
16,62,0.58769
16,63,0.57104
17,20,0.50045
17,54,0.54873
17,61,0.50271
18,25,0.50307
18,26,0.53755
18,33,0.5486
18,35,0.53688
18,37,0.50182
18,43,0.5905
18,45,0.60121
18,46,0.57805
18,48,0.55066
18,58,0.51789
18,59,0.5602
18,66,0.51109
18,67,0.61934
18,72,0.50431
18,75,0.55821
18,76,0.53557
18,78,0.51301
18,79,0.51862
18,83,0.64183
18,87,0.55707
18,89,0.56887
18,92,0.53639
19,79,0.52048
19,84,0.5084
19,85,0.51696
19,87,0.535
19,93,0.51175
20,21,0.56104
20,22,0.58681
20,23,0.54187
20,24,0.66785
20,25,0.57155
20,26,0.50966
20,28,0.51841
20,42,0.5391
20,46,0.52532
20,61,0.50834
20,82,0.5045
20,85,0.50078
20,87,0.53026
21,23,0.58905
21,24,0.5973
21,27,0.5147
21,41,0.54877
21,42,0.56906
21,44,0.51395
21,49,0.55452
21,54,0.59632
21,61,0.50865
21,62,0.54527
21,63,0.53511
21,95,0.50835
21,101,0.60573
22,24,0.62988
22,26,0.59713
22,27,0.52035
22,28,0.66839
22,42,0.50013
22,43,0.5345
22,45,0.50558
22,57,0.56661
22,67,0.50623
22,74,0.53432
22,75,0.54794
22,90,0.54249
22,91,0.53773
22,99,0.5313
23,24,0.6139
23,25,0.50322
23,27,0.53816
23,29,0.52798
23,41,0.61794
23,42,0.59544
23,53,0.53905
23,56,0.60255
23,60,0.53327
23,82,0.52023
24,25,0.5011
24,26,0.5143
24,27,0.64671
24,28,0.673
24,29,0.55148
24,41,0.53774
24,42,0.73026
24,56,0.51852
24,57,0.51193
24,61,0.5447
25,26,0.54095
25,43,0.50293
25,60,0.53414
25,77,0.56538
25,82,0.50492
25,83,0.55213
25,87,0.51377
26,28,0.55696
26,29,0.53444
26,37,0.5306
26,40,0.55546
26,43,0.618
26,45,0.50635
26,48,0.50225
26,58,0.50458
26,66,0.52075
26,67,0.58997
26,74,0.55654
26,75,0.63572
26,83,0.55917
26,87,0.51389
26,88,0.51704
26,89,0.51156
26,98,0.52515
26,99,0.58726
27,28,0.63387
27,29,0.55819
27,41,0.53233
27,42,0.68947
27,61,0.50956
27,90,0.50608
28,29,0.54277
28,42,0.58549
28,57,0.5292
29,30,0.65456
29,41,0.64659
29,42,0.51572
29,49,0.55833
30,41,0.69507
30,49,0.66905
30,62,0.53176
30,63,0.54446
31,32,0.67109
31,68,0.53919
31,70,0.51042
31,71,0.62378
31,72,0.52335
31,73,0.52563
32,68,0.54381
32,71,0.67058
32,73,0.54775
33,34,0.67241
33,35,0.56064
33,36,0.50702
33,43,0.53152
33,45,0.52433
33,46,0.60868
33,79,0.52461
33,87,0.50797
34,46,0.51388
34,51,0.50977
34,79,0.58308
34,85,0.50054
35,36,0.7066
35,37,0.60046
35,38,0.59465
35,43,0.63716
35,45,0.50506
35,47,0.52964
35,48,0.63453
35,58,0.56413
35,59,0.58694
35,66,0.53519
35,67,0.60888
35,74,0.50018
35,75,0.53321
35,76,0.57669
35,83,0.52854
35,88,0.52063
35,89,0.59336
36,37,0.50706
36,38,0.50714
36,43,0.5123
36,48,0.53
36,58,0.50377
36,59,0.51533
36,76,0.52759
37,38,0.82968
37,39,0.59496
37,40,0.54258
37,43,0.53752
37,47,0.59232
37,48,0.57224
37,58,0.58887
37,59,0.5787
37,66,0.6083
37,67,0.58158
37,74,0.53209
37,75,0.55798
37,76,0.58533
37,78,0.5446
37,80,0.55142
37,81,0.5413
37,83,0.57377
37,86,0.59611
37,88,0.61776
37,89,0.59589
37,98,0.51224
38,39,0.52818
38,43,0.50249
38,47,0.59585
38,48,0.56135
38,58,0.56622
38,59,0.54413
38,66,0.59475
38,67,0.54099
38,74,0.52186
38,75,0.5208
38,76,0.54983
38,80,0.55229
38,81,0.50284
38,86,0.55797
38,88,0.60132
38,89,0.56478
38,98,0.51069
39,40,0.66944
39,57,0.55695
39,76,0.58664
39,80,0.60009
39,81,0.53279
39,83,0.53239
39,86,0.55496
40,57,0.55999
40,76,0.51406
40,80,0.56244
40,81,0.50893
40,83,0.51482
40,86,0.51056
41,42,0.5907
41,44,0.50984
41,49,0.63611
41,53,0.52904
41,63,0.58643
42,54,0.57093
42,56,0.58861
42,57,0.50689
42,61,0.58943
42,63,0.52101
43,45,0.69079
43,46,0.62779
43,47,0.52817
43,48,0.66324
43,58,0.58085
43,59,0.5811
43,66,0.57709
43,67,0.696
43,74,0.61498
43,75,0.65782
43,76,0.54508
43,77,0.51539
43,79,0.50179
43,83,0.50846
43,88,0.54361
43,89,0.61047
43,91,0.52293
43,99,0.50979
44,49,0.53077
44,100,0.53004
45,46,0.81351
45,47,0.50591
45,48,0.61426
45,58,0.53835
45,59,0.55023
45,66,0.54949
45,67,0.61149
45,72,0.56388
45,73,0.52462
45,74,0.6061
45,75,0.61751
45,89,0.58882
45,91,0.54127
45,99,0.50445
46,48,0.51428
46,67,0.51919
46,72,0.5744
46,73,0.55513
46,75,0.52091
46,77,0.50145
46,91,0.51022
46,97,0.53778
47,48,0.76799
47,58,0.75068
47,59,0.66369
47,66,0.85088
47,67,0.64399
47,74,0.71592
47,75,0.62719
47,76,0.60562
47,88,0.88097
47,89,0.73813
47,90,0.50789
47,98,0.52893
47,99,0.53452
48,58,0.80431
48,59,0.76574
48,66,0.80045
48,67,0.82321
48,74,0.76149
48,75,0.72068
48,76,0.61452
48,88,0.74715
48,89,0.90567
48,91,0.54353
48,98,0.52553
48,99,0.54254
49,62,0.63998
49,63,0.56708
49,101,0.54004
50,51,0.58487
50,78,0.65144
50,79,0.61156
50,80,0.52155
50,81,0.63941
50,83,0.51039
50,84,0.51184
50,85,0.50599
50,86,0.51568
50,92,0.52164
50,96,0.51053
50,97,0.51657
51,78,0.50254
51,79,0.62414
51,84,0.56526
51,85,0.55697
51,93,0.55071
51,95,0.53956
51,97,0.58915
52,63,0.50729
52,69,0.55461
52,102,0.64683
52,103,0.5042
53,55,0.54889
53,56,0.55719
54,56,0.52336
54,61,0.61638
54,62,0.53117
54,63,0.50642
54,95,0.53847
54,101,0.59137
54,105,0.5586
56,57,0.59703
56,60,0.55951
56,61,0.60773
57,76,0.53192
58,59,0.97077
58,66,0.89166
58,67,0.74323
58,74,0.73116
58,75,0.71169
58,76,0.56533
58,88,0.86543
58,89,0.94523
58,91,0.54295
58,98,0.56747
58,99,0.55264
59,66,0.75652
59,67,0.73289
59,74,0.65519
59,75,0.68169
59,76,0.56826
59,83,0.52258
59,88,0.72568
59,89,0.94739
59,91,0.532
59,98,0.53339
59,99,0.52181
60,61,0.50076
60,94,0.52758
61,95,0.53127
62,63,0.62264
62,101,0.64273
63,101,0.53528
65,71,0.5657
65,95,0.50824
65,101,0.62321
66,67,0.76284
66,74,0.85941
66,75,0.75925
66,76,0.55578
66,88,1
66,89,0.85492
66,90,0.50055
66,91,0.51609
66,98,0.62354
66,99,0.61645
67,74,0.75943
67,75,0.84183
67,76,0.55404
67,83,0.54161
67,88,0.70972
67,89,0.80009
67,91,0.5228
67,98,0.57626
67,99,0.59996
68,71,0.54182
69,70,0.50978
69,102,0.68187
69,103,0.55133
70,71,0.52351
70,72,0.55229
70,73,0.50288
71,72,0.51145
71,73,0.51972
72,73,0.72163
74,75,0.86429
74,76,0.52067
74,88,0.78802
74,89,0.74029
74,90,0.57161
74,91,0.55744
74,98,0.59788
74,99,0.65079
75,76,0.50716
75,83,0.52417
75,88,0.71349
75,89,0.7514
75,90,0.50562
75,91,0.55006
75,98,0.59077
75,99,0.64423
76,77,0.5697
76,78,0.54282
76,79,0.5297
76,80,0.54898
76,81,0.50975
76,83,0.54673
76,86,0.58393
76,87,0.52892
76,88,0.57437
76,89,0.58275
77,87,0.53342
78,79,0.68148
78,80,0.59441
78,81,0.69163
78,83,0.57706
78,84,0.58875
78,85,0.53002
78,86,0.74209
78,87,0.56444
78,92,0.65204
78,96,0.54846
78,97,0.53817
79,80,0.51239
79,81,0.61194
79,83,0.54338
79,84,0.59203
79,85,0.61371
79,86,0.56791
79,87,0.6518
79,92,0.62611
79,96,0.56454
79,97,0.59185
80,81,0.66693
80,86,0.72247
81,83,0.54818
81,86,0.64806
81,87,0.53995
81,92,0.56153
81,96,0.53337
82,83,0.54259
82,84,0.53607
83,84,0.50957
83,85,0.54308
83,86,0.54659
83,87,0.62336
83,89,0.5221
83,92,0.50993
84,85,0.64207
84,86,0.51885
84,87,0.54726
84,92,0.52371
84,97,0.51298
85,87,0.54504
85,97,0.53442
86,87,0.55293
86,92,0.55963
87,92,0.50233
88,89,0.78248
88,90,0.51788
88,91,0.514
88,98,0.57948
88,99,0.59039
89,91,0.53032
89,98,0.55047
89,99,0.55967
90,91,0.50302
92,96,0.605
92,97,0.55793
92,98,0.51685
93,94,0.53323
93,95,0.5953
93,96,0.5115
93,97,0.55583
95,97,0.50289
95,101,0.53541
95,105,0.51595
96,97,0.77691
96,98,0.51672
98,99,0.72131
100,105,0.56364
101,105,0.55176
102,103,0.54537
104,105,0.64192
